size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
medium,baseline,normal,few,normal,default,few,default,2.7,2.55,2.35,3.85,9.0,18.15,20.65,16.8,0.9,1.0,1.0,0.1,,0.09999999999999998,0.09999999999999998,0.0,0.5299999999999999,too easy
large,random_walk,light,few,open,low,few,low,2.2,2.15,2.5,4.0,16.65,40.3,36.25,32.4,0.95,1.0,0.9,0.0,,0.050000000000000044,-0.04999999999999993,0.09999999999999998,0.5150000000000001,too easy
medium,random_walk,heavy,many,open,high,many,low,3.9,3.4,3.5,4.0,18.4,29.45,29.05,20.15,0.1,0.4,0.4,0.0,,0.30000000000000004,0.30000000000000004,0.0,0.5,too hard
large,baseline,light,normal,open,low,normal,low,2.25,2.05,2.1,3.85,10.55,21.6,19.9,19.75,0.95,1.0,1.0,0.05,,0.050000000000000044,0.050000000000000044,0.0,0.4900000000000001,too easy
large,baseline,light,normal,normal,low,normal,default,2.7,2.2,2.35,3.9,11.25,22.05,20.85,19.55,0.95,1.0,1.0,0.05,,0.050000000000000044,0.050000000000000044,0.0,0.4900000000000001,too easy
large,baseline,light,few,normal,low,few,default,2.7,1.95,2.2,3.9,11.3,20.95,21.4,20.45,0.95,1.0,1.0,0.05,,0.050000000000000044,0.050000000000000044,0.0,0.4900000000000001,too easy
medium,arena,normal,many,open,default,many,low,2.7,2.05,2.25,3.95,10.8,18.05,19.4,17.4,0.95,1.0,1.0,0.05,,0.050000000000000044,0.050000000000000044,0.0,0.4900000000000001,too easy
large,arena,light,normal,open,low,normal,low,2.9,2.4,2.8,4.0,17.2,23.75,22.55,20.05,1.0,0.9,0.8,0.0,,-0.09999999999999998,-0.19999999999999996,0.09999999999999998,0.49000000000000005,mixed
large,random_walk,heavy,many,open,high,many,low,4.0,3.25,3.65,4.0,17.85,38.3,30.55,24.5,0.0,0.4,0.25,0.0,,0.4,0.25,0.15000000000000002,0.49,too hard
medium,random_walk,normal,few,open,default,few,low,2.7,2.65,2.2,3.85,15.55,39.9,28.55,29.2,0.95,0.95,1.0,0.1,,0.0,0.050000000000000044,-0.050000000000000044,0.48500000000000015,too easy
large,arena,normal,few,open,default,few,low,3.8,3.4,3.65,3.95,18.3,20.15,18.9,18.65,0.15,0.4,0.25,0.05,,0.25,0.1,0.15000000000000002,0.48,too hard
large,baseline,light,few,open,low,few,low,2.5,1.95,2.6,3.8,10.65,24.1,19.7,17.85,0.95,1.0,1.0,0.1,,0.050000000000000044,0.050000000000000044,0.0,0.46500000000000014,too easy
medium,baseline,normal,many,normal,default,many,default,2.45,2.15,2.0,3.8,8.95,18.0,16.85,17.75,0.95,1.0,1.0,0.1,,0.050000000000000044,0.050000000000000044,0.0,0.46500000000000014,too easy
large,baseline,light,many,normal,low,many,default,2.45,2.0,2.2,3.8,11.1,20.75,20.9,20.55,0.95,1.0,1.0,0.1,,0.050000000000000044,0.050000000000000044,0.0,0.46500000000000014,too easy
