size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,agent,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction,avg_generated_enemy_count,avg_generated_obstacle_density,avg_interior_wall_density,avg_dead_end_count,avg_avg_enemy_attack_distance,avg_max_enemy_attack_distance
medium,arena,light,normal,normal,low,normal,default,heuristic,20,20,1.0,0.8388698745050668,0.9999999999999999,6.75,0.9420721840708386,1.4,2.6,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,normal,normal,low,normal,default,mcts_medium,20,20,1.0,0.8388698745050668,0.9999999999999999,14.75,6.057020719792859,1.15,2.85,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,normal,normal,low,normal,default,mcts_small,20,20,1.0,0.8388698745050668,0.9999999999999999,15.85,3.876531955240405,1.7,2.3,0.0,0.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,normal,normal,low,normal,default,random,20,13,0.65,0.43285051021946463,0.8188104521320554,17.9,6.441273166075166,2.85,1.15,0.35,1.0,3.95,0.9884246112237998,1.0,0.12000000000000002,0.12727272727272726,3.1,7.85,7.85
medium,arena,light,normal,open,low,normal,low,heuristic,20,20,1.0,0.8388698745050668,0.9999999999999999,6.7,0.45825756949558405,1.45,2.55,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,normal,open,low,normal,low,mcts_medium,20,20,1.0,0.8388698745050668,0.9999999999999999,16.3,4.796873982084582,1.15,2.85,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,normal,open,low,normal,low,mcts_small,20,20,1.0,0.8388698745050668,0.9999999999999999,16.1,4.592385001282014,1.6,2.4,0.0,0.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,light,normal,open,low,normal,low,random,20,14,0.7,0.4810232237710206,0.854524726031006,20.5,7.053367989832942,2.7,1.3,0.3,1.0,1.1,0.989070069715231,1.0,0.06000000000000001,0.07575757575757577,1.05,7.9,7.9
medium,arena,normal,few,normal,default,few,default,heuristic,20,20,1.0,0.8388698745050668,0.9999999999999999,11.25,1.1346805717910218,2.6,1.4,0.0,0.0,3.8,0.9768492224475998,2.0,0.12000000000000002,0.12727272727272726,3.15,7.85,7.85
medium,arena,normal,few,normal,default,few,default,mcts_medium,20,20,1.0,0.8388698745050668,0.9999999999999999,17.85,4.767336782733102,2.45,1.55,0.0,0.0,3.8,0.9768492224475998,2.0,0.12000000000000002,0.12727272727272726,3.15,7.85,7.85
medium,arena,normal,few,normal,default,few,default,mcts_small,20,20,1.0,0.8388698745050668,0.9999999999999999,22.15,5.9856077385675714,2.2,1.8,0.0,0.0,3.8,0.9768492224475998,2.0,0.12000000000000002,0.12727272727272726,3.15,7.85,7.85
medium,arena,normal,few,normal,default,few,default,random,20,0,0.0,0.0,0.1611301254949332,16.65,3.965791219920686,4.0,0.0,1.7,1.7,3.8,0.9768492224475998,2.0,0.12000000000000002,0.12727272727272726,3.15,7.85,7.85
medium,arena,normal,few,open,default,few,low,heuristic,20,19,0.95,0.7638641064874331,0.9911187805671268,10.7,1.4866068747318508,2.85,1.15,0.1,2.0,1.2,0.978140139430462,2.0,0.06000000000000001,0.07575757575757577,1.1,7.9,7.9
